First_name,Last_name,DOB,Height,Shooting,Ball_handling,Rebounding,Defense
Peter,Schneider,1908-08-26,191,5,7,8,9
Jonathan,Schwartz,1931-01-15,158,3,8,9,10
Michael,Perez,2014-11-17,189,9,5,5,2
Elizabeth,Raymond,1932-09-19,195,9,8,10,2
Lee,Webb,1916-04-18,164,4,2,5,3
Valerie,Donovan,1955-04-29,168,9,8,4,9
Michelle,Johnson,1949-09-05,184,9,2,7,4
Theresa,Acevedo,2015-04-05,185,9,1,9,2
Sara,Obrien,1985-12-16,160,6,2,6,2
Stacy,Ingram,1994-01-26,185,6,9,10,1
Sierra,George,1981-05-20,172,5,4,10,2
Aaron,Wolfe,1992-05-30,167,7,4,3,4
Michael,Allen,1923-02-17,163,4,8,2,9
Roger,Chambers,1918-06-03,194,5,8,5,7
Amanda,Woodard,1988-09-10,177,3,2,3,2
Susan,Martin,2015-06-06,184,9,5,5,5
Thomas,Howell,1953-02-07,157,6,3,10,4
Thomas,Jefferson,1964-11-06,158,1,1,4,9
Tyrone,Chen,1967-03-31,182,10,2,5,10
Chase,Wheeler,1925-03-02,183,5,3,7,7
William,Armstrong,1958-09-27,155,7,1,5,10
Justin,Frey,1967-11-23,171,3,3,10,2
Travis,Keller,1924-06-13,168,5,1,7,6
Timothy,White,1968-08-12,179,6,9,4,9
Erica,Williams,1935-05-07,163,3,2,7,7
Sonya,Bennett,1933-10-09,175,1,5,5,6
Elizabeth,Waters,1963-10-09,166,2,9,7,5
Amanda,Wolf,1921-04-02,169,2,3,7,4
Yesenia,West,1947-04-24,174,8,3,4,5
Sara,Smith,1956-08-19,163,3,4,8,10
Maria,Schroeder,1988-03-10,189,5,7,4,5
Ashley,Young,2006-09-21,195,9,6,10,1
Anthony,Parker,1913-11-24,177,8,10,4,3
Dennis,Turner,2005-03-19,166,6,6,8,5
Jeremy,Jennings,1941-11-14,162,4,6,2,5
Karen,Morris,1937-02-12,195,7,6,6,3
Jeffrey,Logan,1952-03-28,165,8,2,9,1
Matthew,Bell,1960-08-23,173,8,7,10,3
Brenda,Mendez,1974-11-19,194,7,8,9,8
Donna,Medina,1979-04-24,184,1,6,4,9
Mary,Gregory,1998-08-13,173,9,9,8,5
Daniel,Moore,1914-06-30,191,9,2,1,6
Dawn,Brown,1913-11-29,165,7,3,10,7
Julian,Fox,1946-12-05,181,1,4,6,2
Samantha,Smith,2007-04-06,156,2,3,7,2
Martha,Turner,1924-02-02,187,2,9,10,8
Christopher,Olson,2019-01-13,168,8,7,8,1
Alyssa,Cooper,2007-09-15,167,7,10,5,1
William,Nixon,1952-01-14,155,9,5,4,6
Linda,Gentry,1940-12-23,173,8,1,6,6
Tara,Gonzalez,1936-04-25,166,4,9,5,5
Jacqueline,Morgan,1943-04-12,163,2,2,4,5
Brett,Cruz,1956-10-16,194,7,8,10,7
Jenna,Clark,1961-08-02,181,6,2,3,1
Jamie,Banks,1985-06-21,156,5,4,7,5
Vincent,Hill,1920-06-15,168,1,3,10,8
Nicole,Clark,2017-02-20,190,3,4,6,4
Steve,Morris,1908-05-24,189,9,5,3,8
Glenn,Wu,1999-10-06,193,7,5,9,4
Elizabeth,Silva,1977-11-23,191,2,8,5,9
Tara,Chambers,1940-12-08,172,6,2,2,9
Johnathan,Nelson,1949-12-13,168,5,9,9,3
Ana,Trevino,1906-12-06,155,3,5,8,2
Jacob,Hall,1925-02-01,171,4,1,8,1
Heidi,Salazar,1976-02-01,192,10,2,6,2
James,Jimenez,2014-03-16,166,9,3,8,2
Elizabeth,Harper,1990-12-25,190,3,4,5,7
Anita,Freeman,2018-03-16,175,5,1,4,5
Stephanie,Gallegos,1925-08-11,195,3,9,10,6
Stephanie,Phelps,1921-12-30,185,9,9,9,9
Richard,Donovan,1935-02-07,155,6,10,5,2
Dawn,Moss,2012-04-08,156,2,8,6,1
Jonathan,Burnett,1972-03-28,181,4,2,8,3
Justin,Yates,1946-07-05,176,3,6,5,3
Andrea,King,1957-06-28,158,6,1,4,2
Michael,Doyle,2005-04-15,172,1,3,1,8
Tyler,Hicks,1906-09-15,172,10,2,4,2
David,Caldwell,1965-04-17,178,10,4,2,9
Frank,Cantu,1936-10-11,174,9,9,5,9
Tracy,Gomez,1936-08-21,173,3,5,6,8
Christina,Gregory,1941-11-20,182,8,2,2,9
Timothy,Carroll,1998-01-12,186,10,5,8,3
Katrina,Thompson,2014-07-25,171,3,3,7,4
Gary,Patel,1939-09-01,177,6,5,4,8
Glenda,Shields,1931-04-30,155,2,5,10,5
